127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:40 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:40 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /airticket1/listAdvice.do?userid=1 HTTP/1.1" 200 5991
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:47 +0800] "GET /airticket1/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/toUserCenter.do HTTP/1.1" 200 6550
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/uploadImages/jerry1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/images/idcard.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/images/phone.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/images/email.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:49 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
